"County","Latitude","Longitude","Datum","AQI","NA"
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",1
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",1
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",9
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",1
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",1
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",1
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",1
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",3
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",1
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",1
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",1
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",1
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",1
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",3
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",1
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",1
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",1
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",1
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",1
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",1
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",1
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",1
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","1 HOUR",0
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
"Albany",42.68075,-73.75733,"WGS84","3-HR BLK AVG",NA
