"County","Latitude","Longitude","Datum","AQI","NA"
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
"Bronx",40.8679,-73.87809,"WGS84","1 HOUR",NA
