"County","Latitude","Longitude","Datum","AQI"
"Bronx",40.816,-73.902,"WGS84",12
"Bronx",40.816,-73.902,"WGS84",16
"Bronx",40.816,-73.902,"WGS84",21
"Bronx",40.816,-73.902,"WGS84",3
"Bronx",40.816,-73.902,"WGS84",15
"Bronx",40.816,-73.902,"WGS84",12
"Bronx",40.816,-73.902,"WGS84",8
"Bronx",40.816,-73.902,"WGS84",6
"Bronx",40.816,-73.902,"WGS84",5
"Bronx",40.816,-73.902,"WGS84",16
"Bronx",40.816,-73.902,"WGS84",14
"Bronx",40.816,-73.902,"WGS84",12
"Bronx",40.816,-73.902,"WGS84",14
"Bronx",40.816,-73.902,"WGS84",7
"Bronx",40.816,-73.902,"WGS84",13
"Bronx",40.816,-73.902,"WGS84",11
"Bronx",40.816,-73.902,"WGS84",11
"Bronx",40.816,-73.902,"WGS84",29
"Bronx",40.816,-73.902,"WGS84",6
"Bronx",40.816,-73.902,"WGS84",14
"Bronx",40.816,-73.902,"WGS84",5
"Bronx",40.816,-73.902,"WGS84",13
"Bronx",40.816,-73.902,"WGS84",8
"Bronx",40.816,-73.902,"WGS84",3
"Bronx",40.816,-73.902,"WGS84",18
"Bronx",40.816,-73.902,"WGS84",12
"Bronx",40.816,-73.902,"WGS84",6
"Bronx",40.816,-73.902,"WGS84",6
"Bronx",40.816,-73.902,"WGS84",8
"Bronx",40.816,-73.902,"WGS84",6
"Bronx",40.816,-73.902,"WGS84",25
"Bronx",40.816,-73.902,"WGS84",4
"Bronx",40.816,-73.902,"WGS84",10
"Bronx",40.816,-73.902,"WGS84",5
"Bronx",40.816,-73.902,"WGS84",12
"Bronx",40.816,-73.902,"WGS84",16
"Bronx",40.816,-73.902,"WGS84",9
"Bronx",40.816,-73.902,"WGS84",20
"Bronx",40.816,-73.902,"WGS84",2
"Bronx",40.816,-73.902,"WGS84",13
"Bronx",40.816,-73.902,"WGS84",11
"Bronx",40.816,-73.902,"WGS84",7
"Bronx",40.816,-73.902,"WGS84",6
"Bronx",40.816,-73.902,"WGS84",4
"Bronx",40.816,-73.902,"WGS84",6
"Bronx",40.816,-73.902,"WGS84",15
"Bronx",40.816,-73.902,"WGS84",14
"Bronx",40.816,-73.902,"WGS84",13
"Bronx",40.816,-73.902,"WGS84",14
"Bronx",40.816,-73.902,"WGS84",8
"Bronx",40.816,-73.902,"WGS84",14
"Bronx",40.816,-73.902,"WGS84",11
"Bronx",40.816,-73.902,"WGS84",10
"Bronx",40.816,-73.902,"WGS84",29
"Bronx",40.816,-73.902,"WGS84",6
"Bronx",40.816,-73.902,"WGS84",14
"Bronx",40.816,-73.902,"WGS84",5
"Bronx",40.816,-73.902,"WGS84",13
"Bronx",40.816,-73.902,"WGS84",8
